RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024
394913,1,"New York, NY",msa,NY,0.548938209,0.564804036,0.51374671,0.45847444,0.410780908,0.356427201,0.345768441,0.355545955,0.356311193,0.390367728,0.389499389,0.406382979,0.428314445,0.463801863,0.419319629,0.375194765,0.357391416,0.323826715,0.331515812,0.347760551,0.378329219
753899,2,"Los Angeles, CA",msa,CA,0.600235849,0.531676022,0.453837597,0.391002045,0.342643052,0.321392533,0.306106265,0.309339888,0.354135816,0.372353937,0.396181384,0.426110834,0.460034014,0.383346027,0.348690887,0.325137615,0.316546763,0.333910367,0.35380117,0.394206994,0.411885667
394463,3,"Chicago, IL",msa,IL,0.635639055,0.586508754,0.492967294,0.429829104,0.36448064,0.345756222,0.363364262,0.401920633,0.420163852,0.452836817,0.488562092,0.532863363,0.543956044,0.509205549,0.450741227,0.377788325,0.366029724,0.353732639,0.368957809,0.417901773,0.459814015
394514,4,"Dallas, TX",msa,TX,0.643979058,0.596877673,0.507598784,0.446548673,0.432150014,0.440498623,0.465359694,0.508207274,0.540824576,0.562070447,0.590634806,0.613288719,0.623789765,0.583297086,0.51783744,0.511471202,0.501286904,0.535622758,0.562000978,0.608490566,0.619419872
394692,5,"Houston, TX",msa,TX,0.6727385,0.644563008,0.605465262,0.543680297,0.538851351,0.540870894,,,0.626004533,0.623998168,0.643774574,0.676134855,0.691283293,0.647385703,0.621079046,0.593124773,0.587869624,0.590874525,0.612032036,0.645077201,0.647456887
395209,6,"Washington, DC",msa,VA,0.48079561,0.387044534,0.311633767,0.246194439,0.244741562,0.244317279,0.259755617,0.287195239,0.305160985,0.317606158,0.36131486,0.397206195,0.397235358,0.308416895,0.253853804,0.235617514,0.227498714,0.249217167,0.282616685,0.314995035,0.342000468
394974,7,"Philadelphia, PA",msa,PA,0.525649351,0.495439739,0.428904429,0.378605769,0.354025814,0.323781234,0.314454776,0.336946003,0.362594545,0.377810007,0.386403399,0.447975397,0.471685317,0.453807107,0.396389113,0.365601288,0.329049368,0.321379581,0.343809524,0.376963351,0.398617512
394856,8,"Miami, FL",msa,FL,0.740722775,0.727290916,0.705694942,0.700490497,0.686532402,0.678948109,0.66106058,0.672457359,0.652546917,0.689019897,0.713571118,0.739084581,0.757840617,0.760384053,0.751072253,0.75959268,0.749636099,0.758561349,0.748352411,0.74950761,0.765523231
394347,9,"Atlanta, GA",msa,GA,0.596887397,0.545990032,0.487244898,0.431069767,0.414356674,0.406577225,0.410843834,0.449727065,0.487882653,0.485047576,0.516944866,0.547959184,0.570790816,0.521922219,0.477058706,0.45699218,0.450345281,0.466782878,0.488916256,0.537763183,0.54892865
394404,10,"Boston, MA",msa,MA,0.518897638,0.471365639,0.411498708,0.323491656,0.262795276,0.253545486,0.263045338,0.292139554,0.318230277,0.334728033,0.366826156,0.393883792,0.44724026,0.404942966,0.33916849,0.296540362,0.257273483,0.268656716,0.294755877,0.368742835,0.40952381
394976,11,"Phoenix, AZ",msa,AZ,0.69433636,0.667799753,0.615610472,0.583745195,0.536065181,0.507953626,0.506320465,0.515326975,0.520015854,0.523300556,0.592696629,0.607662292,0.621974522,0.576737452,0.556194781,0.561423434,0.563198015,0.557014664,0.557674841,0.585707146,0.568773234
