RegionID,SizeRank,City,State,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024
394913,1,New,NY,618315.3511,617846.0641,618981.34,621750.6512,626320.7805,630785.9965,634537.9493,638024.0518,640993.7464,643776.6161,646598.2117,649865.3442,653024.1679,657325.7101,662976.4639,669457.8623,674379.0106,677580.635,680209.7431,683834.5024,687956.1814,691747.7753
753899,2,Los,CA,903986.6773,892731.2695,882677.7305,880399.7757,884651.7303,893150.1488,905260.5367,919781.0813,934295.3609,946359.5652,955401.0563,961160.9422,961240.2782,958067.1288,956942.0834,960982.2869,967579.983,972048.4525,976772.5555,982347.1953,989199.485,994897.4807
394463,3,Chicago,IL,304945.1226,305039.9586,305928.1024,307807.3543,310078.122,312732.3331,315376.9045,317844.2695,319595.4414,320897.8414,321825.2839,322579.913,323407.9208,325014.6213,327666.8114,330756.6799,333074.2018,334422.5825,335234.2821,336199.5612,337340.5326,338506.1144
394514,4,Dallas,TX,372484.0732,370230.9292,368702.7284,368168.798,368468.2531,369296.208,370271.0101,371176.8787,371564.6252,371652.679,371504.9408,371186.9189,371215.1842,371698.2249,372852.4396,373826.2436,373978.3416,373322.9493,372396.9231,371759.1731,371580.0129,371494.2966
394692,5,Houston,TX,307389.9912,305680.3944,304498.9292,304023.1966,304154.0559,304951.129,305879.161,306760.4526,307121.3327,307151.7624,306876.1996,306479.1106,306485.8948,306879.9446,307878.5343,308913.0231,309454.105,309335.4784,308972.5028,308770.1887,308740.931,308583.1227
395209,6,Washington,VA,555949.7949,555785.2608,556002.3667,557696.8078,560428.7281,564262.7332,567751.0654,570554.3588,572336.6535,573579.5816,574415.0345,575225.9764,575789.935,577415.2032,580756.8294,585409.9143,589278.6107,591245.0842,591932.3435,592513.0307,594036.567,596299.2912
394974,7,Philadelphia,PA,333617.6401,333825.0446,334864.5716,336852.857,339759.5798,342781.5254,345711.6379,348388.5866,350661.5,352337.1295,353710.7784,354950.393,356215.3672,357838.4703,360226.6833,363052.0949,365165.6049,366118.2444,366493.6589,367202.3054,368367.9053,369719.1541
394856,8,Miami,FL,519982.3657,520132.5571,520800.1122,522572.3416,525576.2443,529767.1743,534316.6069,538857.4187,542679.5205,546554.4311,550514.5605,554277.2898,557434.9409,560201.3206,563250.4225,566345.4319,569127.9245,570533.7747,571471.1294,572129.4903,572895.7523,573003.1216
394347,9,Atlanta,GA,368209.9294,366952.4357,366673.1224,367123.1425,368432.786,370199.548,372190.5705,374052.6627,375617.5066,376869.7923,377843.1,378603.375,379219.6334,380237.7324,381834.4149,383681.3221,384871.0084,385136.8457,384975.5675,384882.783,384767.2222,384375.4766
394404,10,Boston,MA,642665.9829,641635.4189,642152.4326,646403.5928,653253.6145,661052.6081,668498.1541,675523.1256,681616.7507,686620.0635,690387.6826,693455.0517,695399.3952,698207.5579,703156.5926,709931.5541,715769.2749,718991.643,720720.9687,722313.8174,724242.0714,726036.4895
394976,11,Phoenix,AZ,456438.5575,450197.7826,446684.3763,445452.3763,446044.092,447880.6332,450536.5944,453451.6236,455875.9034,457959.395,459586.4142,460413.5712,460772.5035,461391.2599,462943.3705,464774.2077,466176.32,466334.1305,465659.4341,464461.1309,463453.9074,462712.3462
395057,12,San,CA,1178105.345,1165132.638,1155815.002,1154679.544,1157833.602,1163875.349,1171799.057,1180592.256,1188958.837,1194985.631,1196954.27,1195123.9,1190237.452,1187695.339,1193875.142,1207777.847,1222888.462,1231112.596,1234248.614,1232985.102,1230761.515,1227563.548
395025,13,Riverside,CA,549474.27,544875.8522,541466.9003,540660.3561,542048.36,544822.0597,548497.7027,552679.6114,556780.6513,560931.8656,564512.3306,567812.754,569907.644,571380.982,572995.8422,575247.6137,578016.427,579964.4512,581628.8421,582763.4196,584231.8918,585463.1785
394532,14,Detroit,MI,230882.755,230872.1958,231475.7409,232726.4728,234355.1559,236176.249,237819.5388,239275.8554,240362.7182,241328.9282,242055.5434,242635.7226,243200.7926,244353.0446,246263.7147,248523.0486,250183.6607,251056.9851,251345.0688,251562.629,251994.6654,252686.0605
395078,15,Seattle,WA,724431.5749,718635.8734,713788.4995,712042.6046,712574.4363,715589.4733,720282.3442,725758.8272,730605.2684,734429.8237,736910.2321,738501.6399,739616.1397,741936.7608,746842.2217,753444.889,759249.3354,761965.2503,763152.7735,764192.3496,766999.1202,770877.4613
394865,16,Minneapolis,MN,372671.3694,371749.224,371629.8064,372533.4059,373922.4799,375721.1307,377340.7367,378613.3301,379244.3429,379171.4929,378723.8051,378134.56,377754.7906,378040.5407,379276.7292,380655.452,381215.0982,380613.7525,379843.587,379712.8187,380282.0255,381600.6355
